02 · REGISTRO DE ENTIDADES,,,,,,,TECHNICAL,
"Registro unico de projeto, programas, produtos, plataformas, capacidades, modulos e iniciativas.",,,,,,,,
OBJETIVO,Garantir IDs unicos e integridade.,,,,,,,
PROXIMA ACAO,Validar entidades REVIEW_REQUIRED.,,DONO,Leonardo,STATUS,WORKING,,
PRD-BUSINESS-SUITE,PRODUCT-BUSINESS-SUITE,PRODUCT,PRG-SMALL-BUSINESS,'-,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,"Suite para PMEs; modulos M1, M2, M5. Maturidade a validar."
PLT-PADRAO-OS,PLATFORM-PADRAO-OS,PLATFORM,PRJ-LEONARDO-001,C09,WORKING,CONFIRMED,FILE,"Governanca, seguranca, memoria, qualidade, nomenclatura, gates, arquitetura-base."
PLT-DIRECTORY,PLATFORM-DIRECTORY,PLATFORM,PRJ-LEONARDO-001,C10,WORKING,CONFIRMED,FILE,"Cataloga skills, agentes, comandos, workflows, plugins, conectores, templates."
CAP-MACRO-PERSONALIZATION,CAP-MACRO-PERSONALIZATION,CAPABILITY,PLT-PADRAO-OS,C05,WORKING,CONFIRMED,FILE,"Configura produtos e ICPs: contexto, variaveis, memoria, skills, agentes, execucao."
CAP-AGENT-FACTORY,CAP-AGENT-FACTORY,CAPABILITY,PRG-ASA,C04,DRAFT,REVIEW_REQUIRED,PROVIDED_PROJECT_CONTEXT,Fabrica de agentes. A avaliar; sem documentacao dedicada confirmada.
TRACK-TDAH,TRACK-TDAH,TRACK,PRD-COURSE-EXPRESS,C11,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,Trilha TDAH do Course Express.
TRACK-MACRO-PERSONALIZATION,TRACK-MACRO-PERSONALIZATION,TRACK,PRD-COURSE-EXPRESS,C05,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,Trilha de macro-personalizacao.
TRACK-ANTHROPIC-STACK,TRACK-ANTHROPIC-STACK,TRACK,PRD-COURSE-EXPRESS,C04,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,Trilha Anthropic Stack.
TRACK-CLAUDE-POWER-USER,TRACK-CLAUDE-POWER-USER,TRACK,PRD-COURSE-EXPRESS,C10,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,Trilha Claude Power User.
INIT-GTM-SHOWROOM,INIT-GTM-SHOWROOM,INITIATIVE,PRG-SMALL-BUSINESS,C02,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,Iniciativa de demonstracao e aquisicao.
INIT-AGENCY-KIT,INIT-AGENCY-KIT,INITIATIVE,PRG-SMALL-BUSINESS,C02,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,Iniciativa/oferta sem documentacao suficiente.
MODULE-M1,MODULE-M1,MODULE,PRD-BUSINESS-SUITE,C02,DRAFT,REVIEW_REQUIRED,PROVIDED_PROJECT_CONTEXT,Modulo M1 da Business Suite.
MODULE-M2,MODULE-M2,MODULE,PRD-BUSINESS-SUITE,C02,DRAFT,REVIEW_REQUIRED,PROVIDED_PROJECT_CONTEXT,Modulo M2 da Business Suite.
MODULE-M5,MODULE-M5,MODULE,PRD-BUSINESS-SUITE,C02,DRAFT,REVIEW_REQUIRED,PROVIDED_PROJECT_CONTEXT,Modulo M5 da Business Suite.
OFFER-DESKOS-KIT,OFFER-DESKOS-KIT,OFFER,PRD-DESK-OS,C01,DRAFT,PROPOSED,EMBEDDED,Oferta kit DESK-OS.
OFFER-DESK-AND-GO,OFFER-DESK-AND-GO,OFFER,PRD-DESK-OS,C01,DRAFT,PROPOSED,EMBEDDED,Oferta Desk and Go.
MODULE-QR-ORCHESTRATOR,MODULE-QR-ORCHESTRATOR,MODULE,PRD-DESK-OS,C06,DRAFT,PROPOSED,EMBEDDED,Modulo orquestrador de QR.
MODULE-RECYCLE,MODULE-RECYCLE,MODULE,PRD-DESK-OS,C06,DRAFT,PROPOSED,EMBEDDED,Modulo Recycle.
MODULE-PRISMA-DESK-GENERATOR,MODULE-PRISMA-DESK-GENERATOR,MODULE,PRD-DESK-OS,C07,DRAFT,PROPOSED,EMBEDDED,Gerador do Prisma Desk.
MODULE-ONE-PRINT-HTML,MODULE-ONE-PRINT-HTML,MODULE,PRD-DESK-OS,C07,DRAFT,PROPOSED,EMBEDDED,One Print HTML.
MODULE-NEURO-AGENT,MODULE-NEURO-AGENT,MODULE,PRD-TDAH-OS,C11,DRAFT,REVIEW_REQUIRED,EMBEDDED,Neuro-Agent; a avaliar.
PRODUCT-SETUP-SUITE,PRODUCT-SETUP-SUITE,OFFER,PRD-LEONARDO-OS,C04,DRAFT,REVIEW_REQUIRED,PROVIDED_PROJECT_CONTEXT,Setup Suite; candidato a avaliar.
PRODUCT-AI-OS-RESET,PRODUCT-AI-OS-RESET,OFFER,PRD-LEONARDO-OS,C04,DRAFT,REVIEW_REQUIRED,PROVIDED_PROJECT_CONTEXT,AI OS Reset; candidato a avaliar.
,,,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,,,
