19 · ENTIDADES ESTRATEGICAS,,,,,,,,,
Entidades conhecidas inseridas como PROPOSED com fonte e evidencia. Requisitos nao inventados.,,,,,,,,,
OBJETIVO,Validar com evidencia documental.,,,,,,,,
PROXIMA ACAO,Confirmar ou rejeitar candidatos.,,DONO,Leonardo,STATUS,PROPOSED,,,
INIT-AGENCY-KIT,INIT-AGENCY-KIT,INITIATIVE,PRG-SMALL-BUSINESS,Iniciativa/oferta sem documentacao suficiente.,PROVIDED_PROJECT_CONTEXT,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
MODULE-M1,MODULE-M1,MODULE,PRD-BUSINESS-SUITE,Modulo M1 da Business Suite.,PROVIDED_PROJECT_CONTEXT,REVIEW_REQUIRED,EMBEDDED,"BRD,MRD,PRD",Validar com evidencia
MODULE-M2,MODULE-M2,MODULE,PRD-BUSINESS-SUITE,Modulo M2 da Business Suite.,PROVIDED_PROJECT_CONTEXT,REVIEW_REQUIRED,EMBEDDED,"BRD,MRD,PRD",Validar com evidencia
MODULE-M5,MODULE-M5,MODULE,PRD-BUSINESS-SUITE,Modulo M5 da Business Suite.,PROVIDED_PROJECT_CONTEXT,REVIEW_REQUIRED,EMBEDDED,"BRD,MRD,PRD",Validar com evidencia
OFFER-DESKOS-KIT,OFFER-DESKOS-KIT,OFFER,PRD-DESK-OS,Oferta kit DESK-OS.,EMBEDDED,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
OFFER-DESK-AND-GO,OFFER-DESK-AND-GO,OFFER,PRD-DESK-OS,Oferta Desk and Go.,EMBEDDED,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
MODULE-QR-ORCHESTRATOR,MODULE-QR-ORCHESTRATOR,MODULE,PRD-DESK-OS,Modulo orquestrador de QR.,EMBEDDED,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
MODULE-RECYCLE,MODULE-RECYCLE,MODULE,PRD-DESK-OS,Modulo Recycle.,EMBEDDED,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
MODULE-PRISMA-DESK-GENERATOR,MODULE-PRISMA-DESK-GENERATOR,MODULE,PRD-DESK-OS,Gerador do Prisma Desk.,EMBEDDED,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
MODULE-ONE-PRINT-HTML,MODULE-ONE-PRINT-HTML,MODULE,PRD-DESK-OS,One Print HTML.,EMBEDDED,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
MODULE-NEURO-AGENT,MODULE-NEURO-AGENT,MODULE,PRD-TDAH-OS,Neuro-Agent; a avaliar.,EMBEDDED,REVIEW_REQUIRED,EMBEDDED,"BRD,MRD,PRD",Validar com evidencia
PRODUCT-SETUP-SUITE,PRODUCT-SETUP-SUITE,OFFER,PRD-LEONARDO-OS,Setup Suite; candidato a avaliar.,PROVIDED_PROJECT_CONTEXT,REVIEW_REQUIRED,EMBEDDED,"BRD,MRD,PRD",Validar com evidencia
PRODUCT-AI-OS-RESET,PRODUCT-AI-OS-RESET,OFFER,PRD-LEONARDO-OS,AI OS Reset; candidato a avaliar.,PROVIDED_PROJECT_CONTEXT,REVIEW_REQUIRED,EMBEDDED,"BRD,MRD,PRD",Validar com evidencia
,,,,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,,,,
